date,price,ticker,source_column,log_price
2010-01-04,1132.989990234375,^GSPC,Adj Close,7.032615426244385
2010-01-05,1136.52001953125,^GSPC,Adj Close,7.035726258211145
2010-01-06,1137.1400146484375,^GSPC,Adj Close,7.036271630098969
2010-01-07,1141.68994140625,^GSPC,Adj Close,7.040264848453623
2010-01-08,1144.97998046875,^GSPC,Adj Close,7.043142431528719
2010-01-11,1146.97998046875,^GSPC,Adj Close,7.044887663157303
2010-01-12,1136.219970703125,^GSPC,Adj Close,7.03546221671836
2010-01-13,1145.6800537109375,^GSPC,Adj Close,7.04375367305172
2010-01-14,1148.4599609375,^GSPC,Adj Close,7.0461771594731335
2010-01-15,1136.030029296875,^GSPC,Adj Close,7.035295033171925
2010-01-19,1150.22998046875,^GSPC,Adj Close,7.047717184379662
2010-01-20,1138.0400390625,^GSPC,Adj Close,7.037062797777801
2010-01-21,1116.47998046875,^GSPC,Adj Close,7.017936140504813
2010-01-22,1091.760009765625,^GSPC,Adj Close,6.995546360874704
2010-01-25,1096.780029296875,^GSPC,Adj Close,7.0001339199285
2010-01-26,1092.1700439453125,^GSPC,Adj Close,6.995921862080714
2010-01-27,1097.5,^GSPC,Adj Close,7.000790144949327
2010-01-28,1084.530029296875,^GSPC,Adj Close,6.988902019415047
2010-01-29,1073.8699951171875,^GSPC,Adj Close,6.979024220365065
2010-02-01,1089.18994140625,^GSPC,Adj Close,6.9931895259114345
2010-02-02,1103.3199462890625,^GSPC,Adj Close,7.006079046356637
2010-02-03,1097.280029296875,^GSPC,Adj Close,7.0005896959740985
2010-02-04,1063.1099853515625,^GSPC,Adj Close,6.968953839924292
2010-02-05,1066.18994140625,^GSPC,Adj Close,6.971846770285119
2010-02-08,1056.739990234375,^GSPC,Adj Close,6.962943967184744
2010-02-09,1070.52001953125,^GSPC,Adj Close,6.975899808958331
2010-02-10,1068.1300048828125,^GSPC,Adj Close,6.973664739530323
2010-02-11,1078.469970703125,^GSPC,Adj Close,6.9832986218654245
2010-02-12,1075.510009765625,^GSPC,Adj Close,6.980550255745483
2010-02-16,1094.8699951171875,^GSPC,Adj Close,6.998390909281745
2010-02-17,1099.510009765625,^GSPC,Adj Close,7.002619913878455
