model,date,trend
TrainValidationSelector,2010-01-04,7.032685292178432
TrainValidationSelector,2010-01-05,7.035664516493135
TrainValidationSelector,2010-01-06,7.03635769542382
TrainValidationSelector,2010-01-07,7.040237524240822
TrainValidationSelector,2010-01-08,7.0431056482893055
TrainValidationSelector,2010-01-11,7.044611838180627
TrainValidationSelector,2010-01-12,7.035905347972218
TrainValidationSelector,2010-01-13,7.04360621068909
TrainValidationSelector,2010-01-14,7.045847140247529
TrainValidationSelector,2010-01-15,7.035868796488934
TrainValidationSelector,2010-01-19,7.047134581091199
TrainValidationSelector,2010-01-20,7.036828929045994
TrainValidationSelector,2010-01-21,7.017864066467444
TrainValidationSelector,2010-01-22,6.996230594628693
TrainValidationSelector,2010-01-25,6.999931523347791
TrainValidationSelector,2010-01-26,6.9961385276335575
TrainValidationSelector,2010-01-27,7.000367778514114
TrainValidationSelector,2010-01-28,6.988958513478843
TrainValidationSelector,2010-01-29,6.979640994477486
TrainValidationSelector,2010-02-01,6.993160119132598
TrainValidationSelector,2010-02-02,7.00559043004635
TrainValidationSelector,2010-02-03,6.999929260889227
TrainValidationSelector,2010-02-04,6.96981485935979
TrainValidationSelector,2010-02-05,6.9715805151065515
TrainValidationSelector,2010-02-08,6.96348782156051
TrainValidationSelector,2010-02-09,6.975531849596707
TrainValidationSelector,2010-02-10,6.973951834969084
TrainValidationSelector,2010-02-11,6.983001799937706
TrainValidationSelector,2010-02-12,6.9810616528761305
TrainValidationSelector,2010-02-16,6.998056467260907
TrainValidationSelector,2010-02-17,7.002668250159564
TrainValidationSelector,2010-02-18,7.009069729488661
TrainValidationSelector,2010-02-19,7.011274609713689
TrainValidationSelector,2010-02-22,7.0100473048275225
TrainValidationSelector,2010-02-23,6.998689830426843
TrainValidationSelector,2010-02-24,7.007532749100537
TrainValidationSelector,2010-02-25,7.005822273987017
TrainValidationSelector,2010-02-26,7.007359212483792
TrainValidationSelector,2010-03-01,7.017051203120577
TrainValidationSelector,2010-03-02,7.019522601163728
TrainValidationSelector,2010-03-03,7.020092814380613
TrainValidationSelector,2010-03-04,7.0239863402780855
TrainValidationSelector,2010-03-05,7.037289126505162
TrainValidationSelector,2010-03-08,7.037508039001401
TrainValidationSelector,2010-03-09,7.039250698589633
TrainValidationSelector,2010-03-10,7.043679259461182
TrainValidationSelector,2010-03-11,7.047617116580644
TrainValidationSelector,2010-03-12,7.047527655683563
TrainValidationSelector,2010-03-15,7.048146816115671
TrainValidationSelector,2010-03-16,7.055660441180093
TrainValidationSelector,2010-03-17,7.061352996962114
TrainValidationSelector,2010-03-18,7.061068708165302
TrainValidationSelector,2010-03-19,7.0563482365269685
TrainValidationSelector,2010-03-22,7.06122274168711
TrainValidationSelector,2010-03-23,7.067996235368737
TrainValidationSelector,2010-03-24,7.062899357647496
TrainValidationSelector,2010-03-25,7.061170882384076
TrainValidationSelector,2010-03-26,7.061964611989088
TrainValidationSelector,2010-03-29,7.067364329151106
TrainValidationSelector,2010-03-30,7.0674682171481376
TrainValidationSelector,2010-03-31,7.064543357272513
TrainValidationSelector,2010-04-01,7.071674067994911
TrainValidationSelector,2010-04-05,7.079391212873213
TrainValidationSelector,2010-04-06,7.0810455038942095
TrainValidationSelector,2010-04-07,7.07557844876819
TrainValidationSelector,2010-04-08,7.078799675331252
TrainValidationSelector,2010-04-09,7.085250268445875
TrainValidationSelector,2010-04-12,7.0871149702674
TrainValidationSelector,2010-04-13,7.088083451808379
TrainValidationSelector,2010-04-14,7.0986457369065565
TrainValidationSelector,2010-04-15,7.099323291006601
