model,phase,target,n_obs,MAE,MSE,RMSE,MAPE,SMAPE,best_order,guerrero_smoothness,best_lambda,window,alpha,degree,notes
TrainValidationSelector,validation,observed_series,825,0.09695937035443225,0.01395962230374658,0.118150845548166,1.1713579166456223,1.1766886101509417,1.0,0.05,0.027008089353330433,,,,Selected on validation after fitting 2476 training observations.
TimeWeightedValidationSelector,validation,observed_series,825,0.10381558772648415,0.016104949008240044,0.1269052757305229,1.2527612254316525,1.2609346485322879,1.0,0.98,615.7562471926212,,,,Selected on validation after fitting 2476 training observations.
HPTrend,validation,observed_series,825,0.6274084293762243,0.5515941106529725,0.74269382026039,7.573938278065835,7.196558302313245,2.0,0.9441945106873262,1600.0,,,,Fixed-parameter baseline; no validation hyperparameter search.
WhittakerTrend,validation,observed_series,825,0.9394780082146648,1.2082692767377352,1.0992130260953676,11.334387834611583,10.529625664928563,2.0,0.749999999998464,4.874751468887553,,,,Fixed-parameter baseline; no validation hyperparameter search.
MovingAverageTrend,validation,observed_series,825,0.25886049403911965,0.08430960447542021,0.2903611621333339,3.1150028685292495,3.1755696469649313,,,,60.0,,,Fixed-parameter baseline; no validation hyperparameter search.
ExponentialSmoothingTrend,validation,observed_series,825,0.23773193097719106,0.07271619521535443,0.26965940594637977,2.8602204283445176,2.9116984023261536,,,,,0.2,,Fixed-parameter baseline; no validation hyperparameter search.
PolynomialTrendForecaster,validation,observed_series,825,0.13397186931621025,0.026074972609929775,0.16147746780876202,1.6132876547617814,1.6299467369176974,,,,,,2.0,Polynomial fitted on train for validation and train+validation for test.
